sal_code_2021,sal_name_2021
SAL10364,Bingara
SAL10365,Bingeebeebra Creek
SAL10366,Bingie
SAL10367,Bingleburra
SAL10368,Biniguy
SAL10369,Binjura
SAL10370,Binna Burra (NSW)
SAL10371,Binnaway
SAL10372,Binya
SAL10373,Birchgrove
SAL10374,Birdwood (NSW)
SAL10375,Birganbigil
SAL10376,Birmingham Gardens
SAL10377,Birriwa
SAL10378,Birrong
SAL10379,Bishops Bridge
SAL10380,Bithramere
SAL10381,Black Creek (Port Macquarie-Hastings - NSW)
SAL10382,Black Creek (Snowy Valleys - NSW)
SAL10383,Black Head
SAL10384,Black Hill (NSW)
SAL10385,Black Hollow
SAL10386,Black Mountain (NSW)
SAL10387,Black Range (NSW)
SAL10388,Black Springs (NSW)
SAL10389,Blackalls Park
SAL10390,Blackbutt (NSW)
SAL10391,Blackett
SAL10392,Blackheath
SAL10393,Blackmans Flat
SAL10394,Blackmans Point
SAL10395,Blacksmiths
SAL10396,Blacktown
SAL10397,Blackville
SAL10398,Blackwall (NSW)
SAL10399,Blair Athol (NSW)
SAL10400,Blairmount
SAL10401,Blakebrook
SAL10402,Blakehurst
SAL10403,Blakney Creek
SAL10404,Bland
SAL10405,Blandford
SAL10406,Blaxland (NSW)
SAL10407,Blaxlands Creek
SAL10408,Blaxlands Ridge
SAL10409,Blayney
SAL10410,Bligh Park
SAL10411,Blighty
SAL10412,Blowering
SAL10413,Blue Bay
SAL10414,Blue Haven
SAL10415,Blue Knob
SAL10416,Blue Mountains National Park
SAL10417,Blue Nobby
SAL10418,Blue Vale
SAL10419,Blueys Beach
SAL10420,Boambee
SAL10421,Boambee East
SAL10422,Boambolo
SAL10423,Boat Harbour (Lismore - NSW)
SAL10424,Boat Harbour (Port Stephens - NSW)
SAL10425,Bobadah
SAL10426,Bobin
SAL10427,Bobs Creek
SAL10428,Bobs Farm
SAL10429,Bobundara
SAL10430,Boco
SAL10431,Bocoble
SAL10432,Bocobra
SAL10433,Bodalla
SAL10434,Bodangora
SAL10435,Boeill Creek
SAL10436,Bogan
SAL10437,Bogan Gate
SAL10438,Bogangar
SAL10439,Bogee
SAL10440,Boggabilla
SAL10441,Boggabri
SAL10442,Bogong Peaks Wilderness
SAL10443,Bohena Creek
SAL10444,Bohnock
SAL10445,Bolaro
SAL10446,Bolivia
SAL10447,Bolong
SAL10448,Bolton Point
SAL10449,Bolwarra (NSW)
SAL10450,Bolwarra Heights
SAL10451,Bom Bom
SAL10452,Bomaderry
SAL10453,Bombah Point
SAL10454,Bombala
SAL10455,Bombay
SAL10456,Bombira
SAL10457,Bombo
SAL10458,Bombowlee
SAL10459,Bombowlee Creek
SAL10460,Bomen
SAL10461,Bonalbo
SAL10462,Bondi
SAL10463,Bondi Beach
SAL10464,Bondi Forest
SAL10465,Bondi Junction
SAL10466,Bonnells Bay
SAL10467,Bonnet Bay
SAL10468,Bonny Hills
SAL10469,Bonnyrigg
SAL10470,Bonnyrigg Heights
SAL10471,Bonshaw (NSW)
SAL10472,Bonville
SAL10473,Booerie Creek
SAL10474,Book Book
SAL10475,Booker Bay
SAL10476,Bookham
SAL10477,Bookookoorara
SAL10478,Bookram
SAL10479,Boolambayte
SAL10480,Boolaroo
SAL10481,Boolcarroll
SAL10482,Booligal
SAL10483,Boolijah
SAL10484,Boomanoomana
SAL10485,Boomerang Beach
SAL10486,Boomey
SAL10487,Boomi
SAL10488,Boomi Creek
SAL10489,Boona Mount
SAL10490,Boonal
SAL10491,Boonoo Boonoo
SAL10492,Boorabee Park
SAL10493,Booragul
SAL10494,Booral (NSW)
SAL10495,Boorga
SAL10496,Boorganna
