sal_code_2021,sal_name_2021
SAL20548,Chewton Bushlands
SAL20549,Childers (Vic.)
SAL20550,Chillingollah
SAL20551,Chiltern
SAL20552,Chiltern Valley
SAL20553,Chinangin
SAL20554,Chinkapook
SAL20555,Chintin
SAL20556,Chirnside Park
SAL20557,Chirrip
SAL20558,Chocolyn
SAL20559,Christmas Hills (Vic.)
SAL20560,Chum Creek
SAL20561,Churchill (Vic.)
SAL20562,Churchill Island
SAL20563,Chute
SAL20564,Clarendon (Vic.)
SAL20565,Claretown
SAL20566,Clarinda
SAL20567,Clarkefield
SAL20568,Clarkes Hill
SAL20569,Clayton
SAL20570,Clayton South
SAL20571,Clear Lake
SAL20572,Clematis
SAL20573,Clifton Creek
SAL20574,Clifton Hill
SAL20575,Clifton Springs
SAL20576,Clonbinane
SAL20577,Clover Flat
SAL20578,Cloverlea
SAL20579,Club Terrace
SAL20580,Clunes (Vic.)
SAL20581,Clyde (Vic.)
SAL20582,Clyde North
SAL20583,Clydebank
SAL20584,Clydesdale (Vic.)
SAL20585,Coalville
SAL20586,Cobains
SAL20587,Cobaw
SAL20588,Cobbannah
SAL20589,Cobberas
SAL20590,Cobblebank
SAL20591,Cobden
SAL20592,Cobram
SAL20593,Cobram East
SAL20594,Cobrico
SAL20595,Cobungra
SAL20596,Coburg
SAL20597,Coburg North
SAL20598,Cocamba
SAL20599,Cochranes Creek
SAL20600,Cockatoo (Vic.)
SAL20601,Cocoroc
SAL20602,Codrington (Vic.)
SAL20603,Coghills Creek
SAL20604,Cohuna
SAL20605,Coimadai
SAL20606,Cokum
SAL20607,Colac
SAL20608,Colac Colac
SAL20609,Colac East
SAL20610,Colac West
SAL20611,Colbinabbin
SAL20612,Colbrook
SAL20613,Coldstream (Vic.)
SAL20614,Coleraine
SAL20615,Colignan
SAL20616,Collingwood (Vic.)
SAL20617,Combienbar
SAL20618,Concongella
SAL20619,Condah
SAL20620,Congupna
SAL20621,Connewarre
SAL20622,Connewirricoo
SAL20623,Coojar
SAL20624,Coolaroo
SAL20625,Cooma (Vic.)
SAL20626,Coomboona
SAL20627,Coomoora
SAL20628,Coongulla
SAL20629,Coonooer Bridge
SAL20630,Coonooer West
SAL20631,Cooriemungle
SAL20632,Cope Cope
SAL20633,Cora Lynn
SAL20634,Corack
SAL20635,Corack East
SAL20636,Coragulac
SAL20637,Coral Bank
SAL20638,Corindhap
SAL20639,Corinella (Vic.)
SAL20640,Corio
SAL20641,Corndale (Vic.)
SAL20642,Cornella
SAL20643,Cornishtown
SAL20644,Coronet Bay
SAL20645,Corop
SAL20646,Cororooke
SAL20647,Corringle
SAL20648,Corryong
SAL20649,Corunnun
SAL20650,Cosgrove (Vic.)
SAL20651,Cosgrove South
SAL20652,Costerfield
SAL20653,Cotswold
SAL20654,Cottles Bridge
SAL20655,Cowa
SAL20656,Cowangie
SAL20657,Cowes
SAL20658,Cowleys Creek
SAL20659,Cowwarr
SAL20660,Craigie (Vic.)
SAL20661,Craigieburn
SAL20662,Cranbourne
SAL20663,Cranbourne East
SAL20664,Cranbourne North
SAL20665,Cranbourne South
SAL20666,Cranbourne West
SAL20667,Creek Junction
SAL20668,Creek View
SAL20669,Creightons Creek
SAL20670,Cremorne (Vic.)
SAL20671,Cressy (Vic.)
SAL20672,Creswick
SAL20673,Creswick North
SAL20674,Crib Point
SAL20675,Crookayan
SAL20676,Crooked River
SAL20677,Cross Roads (Vic.)
SAL20678,Crossley
SAL20679,Crossover
SAL20680,Crowlands
SAL20681,Croxton East
SAL20682,Croydon (Vic.)
SAL20683,Croydon Hills
SAL20684,Croydon North
SAL20685,Croydon South
SAL20686,Crymelon
SAL20687,Cudgee
SAL20688,Cudgewa
SAL20689,Culgoa
SAL20690,Culla
SAL20691,Cullen
SAL20692,Cullulleraine
SAL20693,Cundare
SAL20694,Cundare North
SAL20695,Curdies River
SAL20696,Curdievale
SAL20697,Curlewis (Vic.)
SAL20698,Curyo
SAL20699,Dadswells Bridge
SAL20700,Daisy Hill (Vic.)
SAL20701,Dales Creek
SAL20702,Dallas
SAL20703,Dalmore
SAL20704,Daltons Bridge
SAL20705,Dalyenong
SAL20706,Dalyston
SAL20707,Dandenong
SAL20708,Dandenong North
SAL20709,Dandenong South
SAL20710,Dandongadale
SAL20711,Dargo
SAL20712,Darley
SAL20713,Darlimurla
SAL20714,Darlington (Vic.)
SAL20715,Darnum
SAL20716,Darraweit Guim
SAL20717,Darriman
SAL20718,Dartmoor (Vic.)
SAL20719,Dartmouth
SAL20720,Dawson (Vic.)
SAL20721,Daylesford
SAL20722,Dean
SAL20723,Deans Marsh
SAL20724,Deanside
SAL20725,Deddick Valley
SAL20726,Dederang
SAL20727,Deep Lead
SAL20728,Deepdene (Vic.)
SAL20729,Deer Park
SAL20730,Delacombe
SAL20731,Delahey
SAL20732,Delatite
SAL20733,Delburn
SAL20734,Delegate River
SAL20735,Denicull Creek
SAL20736,Denison
SAL20737,Dennington
SAL20738,Denver
SAL20739,Deptford
SAL20740,Derby (Vic.)
SAL20741,Dereel
SAL20742,Dergholm
SAL20743,Derrimut
SAL20744,Derrinal
SAL20745,Derrinallum
SAL20746,Devenish
SAL20747,Devils River
SAL20748,Devon Meadows
SAL20749,Devon North
SAL20750,Dewhurst
SAL20751,Dhurringile
SAL20752,Diamond Creek
SAL20753,Digby
SAL20754,Diggers Rest
SAL20755,Diggora
SAL20756,Dimboola
SAL20757,Dingee
SAL20758,Dingley Village
SAL20759,Dingwall
SAL20760,Dinner Plain
SAL20761,Dixie (Vic.)
SAL20762,Dixons Creek
SAL20763,Dobie
SAL20764,Docker
SAL20765,Dockers Plains
SAL20766,Docklands
SAL20767,Doctors Flat
SAL20768,Dollar
SAL20769,Don Valley
SAL20770,Donald
SAL20771,Doncaster
SAL20772,Doncaster East
SAL20773,Donnybrook (Vic.)
SAL20774,Donvale
SAL20775,Dooboobetic
SAL20776,Dooen
SAL20777,Dookie
SAL20778,Dookie College
SAL20779,Doreen
SAL20780,Dorodong
SAL20781,Double Bridges
SAL20782,Douglas (Vic.)
SAL20783,Doveton
SAL20784,Dreeite
SAL20785,Dreeite South
SAL20786,Driffield
SAL20787,Drik Drik
SAL20788,Dromana
SAL20789,Dropmore
SAL20790,Drouin
SAL20791,Drouin East
SAL20792,Drouin South
SAL20793,Drouin West
SAL20794,Drumanure
SAL20795,Drumborg
SAL20796,Drumcondra
SAL20797,Drummartin
SAL20798,Drummond
SAL20799,Drummond North
SAL20800,Drung
SAL20801,Dry Diggings
SAL20802,Drysdale
SAL20803,Duchembegarra
SAL20804,Dumbalk
SAL20805,Dumbalk North
SAL20806,Dumosa
SAL20807,Dunach
SAL20808,Dundonnell
SAL20809,Dunkeld (Vic.)
SAL20810,Dunluce
SAL20811,Dunneworthy
SAL20812,Dunnstown
SAL20813,Dunolly (Vic.)
SAL20814,Dunrobin
SAL20815,Durdidwarrah
SAL20816,Durham Lead
SAL20817,Durham Ox
SAL20818,Dutson
SAL20819,Dutson Downs
SAL20820,Dutton Way
SAL20821,Duverney
SAL20822,Eagle Point
SAL20823,Eaglehawk
SAL20824,Eaglehawk North
SAL20825,Eaglemont
SAL20826,Earlston
SAL20827,East Bairnsdale
SAL20828,East Bendigo
SAL20829,East Geelong
SAL20830,East Melbourne
SAL20831,East Sale
SAL20832,East Wangaratta
SAL20833,East Warburton
SAL20834,Eastern View
SAL20835,Eastville
SAL20836,Eastwood (Vic.)
SAL20837,Ebden
SAL20838,Echuca
SAL20839,Echuca Village
SAL20840,Echuca West
SAL20841,Ecklin South
SAL20842,Eddington
SAL20843,Eden Park
SAL20844,Edenhope
SAL20845,Edgecombe
SAL20846,Edi
SAL20847,Edi Upper
SAL20848,Edithvale
SAL20849,Eganstown
SAL20850,Eildon
SAL20851,Elaine
SAL20852,Eldorado
SAL20853,Elevated Plains
SAL20854,Elingamite
SAL20855,Elingamite North
SAL20856,Elizabeth Island
SAL20857,Ellaswood
SAL20858,Ellerslie (Vic.)
SAL20859,Elliminyt
SAL20860,Ellinbank
SAL20861,Elmhurst
SAL20862,Elmore
SAL20863,Elphinstone (Vic.)
SAL20864,Elsternwick
SAL20865,Eltham (Vic.)
SAL20866,Eltham North
SAL20867,Elwood
SAL20868,Emerald (Vic.)
SAL20869,Emu
