sal_code_2021,sal_name_2021,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
SAL20061,Archies Creek,205031093,Wonthaggi - Inverloch,100.0,high
SAL20062,Ardeer,213011328,Ardeer - Albion,100.0,high
SAL20062,Ardeer,213011569,Deer Park,0.0,low
SAL20063,Ardmona,216031415,Mooroopna,87.13,medium
SAL20063,Ardmona,216031419,Shepparton Surrounds - West,12.87,low
SAL20064,Areegra,215031400,Buloke,95.12,high
SAL20064,Areegra,215011391,St Arnaud,3.88,low
SAL20064,Areegra,215011394,Yarriambiack,1.0,low
SAL20065,Argyle (Vic.),202021029,Heathcote,97.01,high
SAL20065,Argyle (Vic.),216011410,Rushworth,1.27,low
SAL20065,Argyle (Vic.),204011058,Nagambie,1.17,low
SAL20065,Argyle (Vic.),204011060,Seymour Surrounds,0.56,low
SAL20066,Armadale (Vic.),206061135,Armadale,97.95,high
SAL20066,Armadale (Vic.),206061136,Prahran - Windsor,2.05,low
SAL20067,Armstrong,215011386,Ararat,88.48,medium
SAL20067,Armstrong,215011387,Ararat Surrounds,10.38,low
SAL20067,Armstrong,201031013,Avoca,0.88,low
SAL20067,Armstrong,215011392,Stawell,0.26,low
SAL20068,Armstrong Creek (Vic.),203021485,Charlemont,39.11,low
SAL20068,Armstrong Creek (Vic.),203031489,Barwon Heads - Armstrong Creek,28.68,low
SAL20068,Armstrong Creek (Vic.),203021487,Grovedale - Mount Duneed,27.92,low
SAL20068,Armstrong Creek (Vic.),203011036,Winchelsea,2.23,low
SAL20068,Armstrong Creek (Vic.),203031053,Torquay,2.06,low
SAL20069,Arnold (Vic.),202011025,White Hills - Ascot,30.81,low
SAL20069,Arnold (Vic.),202011024,Strathfieldsaye,29.98,low
SAL20069,Arnold (Vic.),202011023,Maiden Gully,15.2,low
SAL20069,Arnold (Vic.),202021026,Bendigo Surrounds - South,14.79,low
SAL20069,Arnold (Vic.),202031032,Bendigo Surrounds - North,3.22,low
SAL20069,Arnold (Vic.),202021029,Heathcote,2.95,low
SAL20069,Arnold (Vic.),202031033,Loddon,1.72,low
SAL20069,Arnold (Vic.),216011410,Rushworth,0.7,low
SAL20069,Arnold (Vic.),202011019,California Gully - Eaglehawk,0.6,low
SAL20069,Arnold (Vic.),201031017,Maryborough Surrounds,0.03,low
SAL20070,Arnold West,202011025,White Hills - Ascot,30.81,low
SAL20070,Arnold West,202011024,Strathfieldsaye,29.98,low
SAL20070,Arnold West,202011023,Maiden Gully,15.2,low
SAL20070,Arnold West,202021026,Bendigo Surrounds - South,14.79,low
SAL20070,Arnold West,202031032,Bendigo Surrounds - North,3.22,low
SAL20070,Arnold West,202021029,Heathcote,2.95,low
SAL20070,Arnold West,202031033,Loddon,1.72,low
SAL20070,Arnold West,216011410,Rushworth,0.7,low
SAL20070,Arnold West,202011019,California Gully - Eaglehawk,0.6,low
SAL20070,Arnold West,201031017,Maryborough Surrounds,0.03,low
SAL20071,Arthurs Creek,209031210,Hurstbridge,71.05,medium
SAL20071,Arthurs Creek,209031212,Panton Hill - St Andrews,28.95,low
SAL20072,Arthurs Seat,214021377,Dromana,100.0,high
SAL20073,Ascot (Ballarat - Vic.),201021010,Creswick - Clunes,66.96,medium
SAL20073,Ascot (Ballarat - Vic.),201021011,Daylesford,26.48,low
SAL20073,Ascot (Ballarat - Vic.),202021028,Castlemaine Surrounds,4.75,low
SAL20073,Ascot (Ballarat - Vic.),201021012,Gordon (Vic.),1.82,low
SAL20074,Ascot (Greater Bendigo - Vic.),202011025,White Hills - Ascot,30.81,low
SAL20074,Ascot (Greater Bendigo - Vic.),202011024,Strathfieldsaye,29.98,low
SAL20074,Ascot (Greater Bendigo - Vic.),202011023,Maiden Gully,15.2,low
SAL20074,Ascot (Greater Bendigo - Vic.),202021026,Bendigo Surrounds - South,14.79,low
SAL20074,Ascot (Greater Bendigo - Vic.),202031032,Bendigo Surrounds - North,3.22,low
SAL20074,Ascot (Greater Bendigo - Vic.),202021029,Heathcote,2.95,low
SAL20074,Ascot (Greater Bendigo - Vic.),202031033,Loddon,1.72,low
SAL20074,Ascot (Greater Bendigo - Vic.),216011410,Rushworth,0.7,low
SAL20074,Ascot (Greater Bendigo - Vic.),202011019,California Gully - Eaglehawk,0.6,low
SAL20074,Ascot (Greater Bendigo - Vic.),201031017,Maryborough Surrounds,0.03,low
SAL20075,Ascot Vale,206031113,Ascot Vale,50.79,low
SAL20075,Ascot Vale,213031349,Maribyrnong,42.13,low
SAL20075,Ascot Vale,206031115,Flemington,7.07,low
SAL20076,Ashbourne (Vic.),202021031,Woodend,91.3,high
SAL20076,Ashbourne (Vic.),202021030,Kyneton,4.57,low
SAL20076,Ashbourne (Vic.),210021235,Romsey,4.13,low
SAL20077,Ashburton,207011146,Ashburton (Vic.),52.63,low
SAL20077,Ashburton,212051319,Ashwood - Chadstone,47.37,low
SAL20077,Ashburton,207011150,Glen Iris - East,0.0,low
SAL20078,Ashwood,207011146,Ashburton (Vic.),52.63,low
SAL20078,Ashwood,212051319,Ashwood - Chadstone,47.37,low
SAL20078,Ashwood,207011150,Glen Iris - East,0.0,low
SAL20079,Aspendale,208031193,Mordialloc - Parkdale,56.81,low
SAL20079,Aspendale,208031183,Aspendale Gardens - Waterways,23.72,low
SAL20079,Aspendale,208031189,Edithvale - Aspendale,19.43,low
SAL20079,Aspendale,208031184,Braeside,0.05,low
SAL20080,Aspendale Gardens,208031193,Mordialloc - Parkdale,56.81,low
SAL20080,Aspendale Gardens,208031183,Aspendale Gardens - Waterways,23.72,low
SAL20080,Aspendale Gardens,208031189,Edithvale - Aspendale,19.43,low
SAL20080,Aspendale Gardens,208031184,Braeside,0.05,low
SAL20081,Athlone,205011076,Drouin,95.84,high
SAL20081,Athlone,205011077,Mount Baw Baw Region,3.37,low
SAL20081,Athlone,205011079,Warragul,0.79,low
SAL20082,Attwood,210051245,Gladstone Park - Westmeadows,100.0,high
SAL20083,Aubrey,215011394,Yarriambiack,98.92,high
SAL20083,Aubrey,215031400,Buloke,1.08,low
SAL20084,Auchmore,202031032,Bendigo Surrounds - North,99.52,high
SAL20084,Auchmore,202031033,Loddon,0.48,low
SAL20085,Avalon,203021043,Lara,100.0,high
SAL20086,Avenel,204011058,Nagambie,100.0,high
SAL20087,Avoca (Vic.),201031013,Avoca,100.0,high
SAL20088,Avon Plains,215011391,St Arnaud,86.33,medium
SAL20088,Avon Plains,201031013,Avoca,9.99,low
SAL20088,Avon Plains,215031400,Buloke,2.38,low
SAL20088,Avon Plains,202031033,Loddon,1.31,low
SAL20089,Avondale Heights,210011533,Avondale Heights,100.0,high
SAL20090,Avonmore,216011410,Rushworth,92.49,high
SAL20090,Avonmore,202031032,Bendigo Surrounds - North,7.51,low
SAL20091,Avonsleigh,212011289,Emerald - Cockatoo,88.92,medium
SAL20091,Avonsleigh,211051279,Monbulk - Silvan,11.08,low
SAL20092,Axe Creek,202011025,White Hills - Ascot,30.81,low
SAL20092,Axe Creek,202011024,Strathfieldsaye,29.98,low
SAL20092,Axe Creek,202011023,Maiden Gully,15.2,low
SAL20092,Axe Creek,202021026,Bendigo Surrounds - South,14.79,low
SAL20092,Axe Creek,202031032,Bendigo Surrounds - North,3.22,low
SAL20092,Axe Creek,202021029,Heathcote,2.95,low
SAL20092,Axe Creek,202031033,Loddon,1.72,low
SAL20092,Axe Creek,216011410,Rushworth,0.7,low
SAL20092,Axe Creek,202011019,California Gully - Eaglehawk,0.6,low
SAL20092,Axe Creek,201031017,Maryborough Surrounds,0.03,low
SAL20093,Axedale,202011025,White Hills - Ascot,30.81,low
SAL20093,Axedale,202011024,Strathfieldsaye,29.98,low
SAL20093,Axedale,202011023,Maiden Gully,15.2,low
SAL20093,Axedale,202021026,Bendigo Surrounds - South,14.79,low
SAL20093,Axedale,202031032,Bendigo Surrounds - North,3.22,low
SAL20093,Axedale,202021029,Heathcote,2.95,low
SAL20093,Axedale,202031033,Loddon,1.72,low
SAL20093,Axedale,216011410,Rushworth,0.7,low
SAL20093,Axedale,202011019,California Gully - Eaglehawk,0.6,low
SAL20093,Axedale,201031017,Maryborough Surrounds,0.03,low
SAL20094,Ayrford,217031475,Corangamite - South,82.85,medium
SAL20094,Ayrford,217041477,Moyne - East,17.15,low
SAL20095,Bacchus Marsh,213041353,Bacchus Marsh,95.86,high
SAL20095,Bacchus Marsh,201021009,Bacchus Marsh Surrounds,3.05,low
SAL20095,Bacchus Marsh,203021043,Lara,0.99,low
SAL20095,Bacchus Marsh,213041573,Eynesbury - Exford,0.1,low
SAL20096,Baddaginnie,204021064,Benalla Surrounds,100.0,high
SAL20097,Badger Creek,211051276,Healesville - Yarra Glen,94.78,high
SAL20097,Badger Creek,209031211,Kinglake,5.22,low
SAL20097,Badger Creek,211051286,Yarra Valley,0.0,low
SAL20098,Bael Bael,215031402,Kerang,72.32,medium
SAL20098,Bael Bael,215031401,Gannawarra,26.89,low
SAL20098,Bael Bael,202031033,Loddon,0.79,low
SAL20099,Bagshot,202011025,White Hills - Ascot,30.81,low
SAL20099,Bagshot,202011024,Strathfieldsaye,29.98,low
SAL20099,Bagshot,202011023,Maiden Gully,15.2,low
SAL20099,Bagshot,202021026,Bendigo Surrounds - South,14.79,low
SAL20099,Bagshot,202031032,Bendigo Surrounds - North,3.22,low
SAL20099,Bagshot,202021029,Heathcote,2.95,low
SAL20099,Bagshot,202031033,Loddon,1.72,low
SAL20099,Bagshot,216011410,Rushworth,0.7,low
SAL20099,Bagshot,202011019,California Gully - Eaglehawk,0.6,low
SAL20099,Bagshot,201031017,Maryborough Surrounds,0.03,low
SAL20100,Bagshot North,202011025,White Hills - Ascot,30.81,low
SAL20100,Bagshot North,202011024,Strathfieldsaye,29.98,low
SAL20100,Bagshot North,202011023,Maiden Gully,15.2,low
SAL20100,Bagshot North,202021026,Bendigo Surrounds - South,14.79,low
SAL20100,Bagshot North,202031032,Bendigo Surrounds - North,3.22,low
SAL20100,Bagshot North,202021029,Heathcote,2.95,low
SAL20100,Bagshot North,202031033,Loddon,1.72,low
SAL20100,Bagshot North,216011410,Rushworth,0.7,low
SAL20100,Bagshot North,202011019,California Gully - Eaglehawk,0.6,low
SAL20100,Bagshot North,201031017,Maryborough Surrounds,0.03,low
SAL20101,Bahgallah,217011420,Glenelg (Vic.),75.12,medium
SAL20101,Bahgallah,215011393,West Wimmera,18.28,low
SAL20101,Bahgallah,217011423,Southern Grampians,6.61,low
SAL20102,Bailieston,204011058,Nagambie,100.0,high
SAL20103,Bairnsdale,205021081,Bairnsdale,78.36,medium
SAL20103,Bairnsdale,205021082,Bruthen - Omeo,14.42,low
SAL20103,Bairnsdale,205021086,Paynesville,7.22,low
SAL20103,Bairnsdale,205021083,Lake King,0.0,low
SAL20104,Bakery Hill,201011001,Alfredton,22.42,low
SAL20104,Bakery Hill,201011482,Ballarat North - Invermay,20.74,low
SAL20104,Bakery Hill,201011483,Canadian - Mount Clear,18.52,low
SAL20104,Bakery Hill,201011002,Ballarat,15.56,low
