poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3085,3085,209011203,Viewbank - Yallambie,82.6,medium
POA3085,3085,209021205,Kingsbury,16.69,low
POA3085,3085,209011198,Heidelberg - Rosanna,0.7,low
POA3087,3087,209011204,Watsonia,100.0,high
POA3088,3088,209011197,Greensborough,68.68,medium
POA3088,3088,209031213,Plenty - Yarrambat,19.46,low
POA3088,3088,209011202,Montmorency - Briar Hill,11.86,low
POA3088,3088,209011196,Bundoora - East,0.0,low
POA3088,3088,209011204,Watsonia,0.0,low
POA3089,3089,209031215,Wattle Glen - Diamond Creek,100.0,high
POA3090,3090,209031213,Plenty - Yarrambat,100.0,high
POA3091,3091,209031213,Plenty - Yarrambat,100.0,high
POA3093,3093,209011202,Montmorency - Briar Hill,100.0,high
POA3094,3094,209011202,Montmorency - Briar Hill,100.0,high
POA3095,3095,209031209,Eltham,82.63,medium
POA3095,3095,209031214,Research - North Warrandyte,9.54,low
POA3095,3095,209011197,Greensborough,7.47,low
POA3095,3095,209011202,Montmorency - Briar Hill,0.36,low
POA3096,3096,209031215,Wattle Glen - Diamond Creek,100.0,high
POA3097,3097,209031214,Research - North Warrandyte,78.74,medium
POA3097,3097,209031212,Panton Hill - St Andrews,21.26,low
POA3099,3099,209031210,Hurstbridge,71.05,medium
POA3099,3099,209031212,Panton Hill - St Andrews,28.95,low
POA3101,3101,207011522,Kew - West,52.34,low
POA3101,3101,207011521,Kew - South,47.36,low
POA3101,3101,207011154,Kew East,0.3,low
POA3102,3102,207011154,Kew East,96.78,high
POA3102,3102,207011522,Kew - West,3.22,low
POA3103,3103,207011147,Balwyn,100.0,high
POA3104,3104,207011148,Balwyn North,99.17,high
POA3104,3104,207031164,Box Hill North,0.83,low
POA3104,3104,207021156,Bulleen,0.0,low
POA3104,3104,207021157,Doncaster,0.0,low
POA3105,3105,207021156,Bulleen,100.0,high
POA3106,3106,207021159,Templestowe,100.0,high
POA3107,3107,207021160,Templestowe Lower,99.17,high
POA3107,3107,207021157,Doncaster,0.83,low
POA3108,3108,207021157,Doncaster,98.55,high
POA3108,3108,207021156,Bulleen,0.69,low
POA3108,3108,207021160,Templestowe Lower,0.59,low
POA3108,3108,207021425,Doncaster East - South,0.18,low
POA3109,3109,207021424,Doncaster East - North,50.5,low
POA3109,3109,207021425,Doncaster East - South,49.5,low
POA3111,3111,211021261,Donvale - Park Orchards,95.95,high
POA3111,3111,211021262,Warrandyte - Wonga Park,2.89,low
POA3111,3111,207021424,Doncaster East - North,0.62,low
POA3111,3111,207021425,Doncaster East - South,0.54,low
POA3113,3113,211021262,Warrandyte - Wonga Park,64.55,medium
POA3113,3113,209031214,Research - North Warrandyte,35.45,low
POA3114,3114,211021261,Donvale - Park Orchards,98.33,high
POA3114,3114,211031268,Ringwood North,1.67,low
POA3115,3115,211021262,Warrandyte - Wonga Park,91.97,high
POA3115,3115,211031265,Croydon Hills - Warranwood,8.03,low
POA3116,3116,211051275,Chirnside Park,100.0,high
POA3121,3121,206071517,Richmond (South) - Cremorne,55.94,low
POA3121,3121,206071518,Richmond - North,44.06,low
POA3122,3122,207011520,Hawthorn - South,53.6,low
POA3122,3122,207011519,Hawthorn - North,44.28,low
POA3122,3122,207011152,Hawthorn East,2.12,low
