postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3058,COBURG NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.726,144.96,21003123618,Coburg North,210031236,Coburg North,Darebin,21890
3058,MERLYNSTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.7209299,144.9613501,21003123618,Coburg North,210031236,Coburg North,Darebin,21890
3058,MORELAND,VIC,Delivery Area,Updated 6-Feb-2020,-37.7343488,144.9666905,21003123618,Coburg North,210031236,Coburg North,Darebin,21890
3059,GREENVALE,VIC,Delivery Area,Updated 6-Feb-2020,-37.6454887,144.8841246,21005124656,Greenvale (Vic.),210051246,Greenvale - Bulla,Hume,23270
3060,FAWKNER,VIC,Delivery Area,Updated 6-Feb-2020,-37.6969273,144.9666905,21005124321,Fawkner,210051243,Campbellfield - Coolaroo,Hume,23270
3060,FAWKNER EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.6969273,144.9666905,21005124321,Fawkner,210051243,Campbellfield - Coolaroo,Hume,23270
3060,FAWKNER NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.6959697,144.9684492,21005124321,Fawkner,210051243,Campbellfield - Coolaroo,Hume,23270
3061,CAMPBELLFIELD,VIC,Delivery Area,Updated 6-Feb-2020,-37.665113,144.955677,21005124343,Campbellfield,210051243,Campbellfield - Coolaroo,Hume,23270
3062,SOMERTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.6332889,144.944665,21005154406,Somerton (Vic.),210051544,Roxburgh Park (South) - Somerton,Hume,23270
3063,OAKLANDS JUNCTION,VIC,Delivery Area,Updated 6-Feb-2020,-37.6117964,144.8401227,21005144542,Yuroke,210051445,Mickleham - Yuroke,Hume,23270
3063,YUROKE,VIC,Delivery Area,Updated 6-Feb-2020,-37.6,144.88,21005144542,Yuroke,210051445,Mickleham - Yuroke,Hume,23270
3064,CRAIGIEBURN,VIC,Delivery Area,Updated 6-Feb-2020,-37.594,144.934,21005154532,Roxburgh Park,210051545,Roxburgh Park - North,Whittlesea,27070
3064,DONNYBROOK,VIC,Delivery Area,Updated 6-Feb-2020,-37.5476567,144.9669338,21005154532,Roxburgh Park,210051545,Roxburgh Park - North,Whittlesea,27070
3064,KALKALLO,VIC,Delivery Area,Updated 6-Feb-2020,-37.5245635,144.955677,21005154532,Roxburgh Park,210051545,Roxburgh Park - North,Whittlesea,27070
3064,MICKLEHAM,VIC,Delivery Area,Updated 6-Feb-2020,-37.562,144.874,21005154532,Roxburgh Park,210051545,Roxburgh Park - North,Whittlesea,27070
3064,ROXBURGH PARK,VIC,Delivery Area,Updated 6-Feb-2020,-37.627,144.929,21005154532,Roxburgh Park,210051545,Roxburgh Park - North,Whittlesea,27070
3065,FITZROY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7974551,144.9804594,20607114324,Fitzroy North,206071143,Fitzroy North,Yarra,27350
3066,COLLINGWOOD,VIC,Delivery Area,Updated 6-Feb-2020,-37.8009595,144.9873447,20607114521,Clifton Hill,206071145,Clifton Hill - Alphington,Yarra,27350
3066,COLLINGWOOD NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.8009595,144.9873447,20607114521,Clifton Hill,206071145,Clifton Hill - Alphington,Yarra,27350
3067,ABBOTSFORD,VIC,Delivery Area,Updated 6-Feb-2020,-37.8023601,144.9983623,20607114522,Clifton Hill,206071145,Clifton Hill - Alphington,Yarra,27350
3068,CLIFTON HILL,VIC,Delivery Area,Updated 6-Feb-2020,-37.7877787,145.0002125,20607114523,Clifton Hill,206071145,Clifton Hill - Alphington,Moreland,25250
3068,FITZROY NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7832944,144.9838466,20607114523,Clifton Hill,206071145,Clifton Hill - Alphington,Moreland,25250
3070,NORTHCOTE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7736132,144.9997396,20602150024,Northcote,206021500,Northcote - West,Moreland,25250
3070,NORTHCOTE SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.779531,144.996757,20602150024,Northcote,206021500,Northcote - West,Moreland,25250
3071,THORNBURY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7600493,145.0080039,20602150022,Thornbury,206021500,Northcote - West,Darebin,21890
3072,GILBERTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.7363,144.99,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,NORTHLAND CENTRE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7385104,145.0300628,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,PRESTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.7399362,145.0107588,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,PRESTON LOWER,VIC,Delivery Area,Updated 6-Feb-2020,-37.7508858,144.9877873,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,PRESTON SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7514021,145.0023878,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,PRESTON WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.7376921,144.9955479,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3072,REGENT WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.7301,144.998,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
