sa2_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
206071517,17671,33,2577,1509,3516,508,2500,2.1,1751,1829,5735,1840,9.91,10.35,32.45,10.41,4242,2451,24.01,13.87,529,2.99,3510,849,250,4140,84.78,20.51,4116,3872,7990,51.51,48.46,2831,1044,35.43,13.07,1265,4264,1918,474,7990,15.83,29.94,1756,2147,3934,7990,21.98,26.87,49.24,48.85,417,25,298,2847,758,5942,12189,6.07,23.36,6.22,48.75,0.1971
206071518,13867,34,2009,1183,2664,400,2047,1.9,1273,1493,4328,1606,9.18,10.77,31.21,11.58,5142,4448,37.08,32.08,709,5.11,2140,1342,279,3222,66.42,41.65,3197,3456,6645,48.11,52.01,2770,683,41.69,10.28,1529,3593,1160,258,6645,23.01,21.34,997,1491,4011,6645,15,22.44,60.36,37.44,171,18,498,2166,613,3627,8602,7.99,25.18,7.13,42.16,0.1991
207011146,7952,41,2743,1002,3422,455,3000,2.8,1584,1015,712,1341,19.92,12.76,8.95,16.86,2230,1806,28.04,22.71,507,6.38,3163,645,46,2142,147.67,30.11,2108,599,2714,77.67,22.07,539,64,19.86,2.36,178,953,1147,405,2714,6.56,57.18,1033,944,678,2714,38.06,34.78,24.98,72.84,104,17,4,1311,84,1785,3980,3.14,32.94,2.11,44.85,0.1659
207011147,16163,43,2017,873,2556,461,3000,2.6,2585,2236,1578,3532,15.99,13.83,9.76,21.85,7143,7102,44.19,43.94,777,4.81,5120,1724,144,4509,113.55,38.23,4396,1690,6089,72.2,27.75,1547,142,25.41,2.33,420,2408,2326,881,6089,6.9,52.67,2613,1645,1568,6089,42.91,27.02,25.75,69.93,89,52,112,2860,155,2846,7414,3.41,38.58,2.09,38.39,0.2286
207011148,21123,42,2350,852,2726,554,3102,2.9,3757,3334,1813,3693,17.79,15.78,8.58,17.48,9156,10071,43.35,47.68,880,4.17,7853,2108,140,5886,133.42,35.81,5718,1306,7021,81.44,18.6,1180,125,16.81,1.78,290,2127,3058,1493,7021,4.13,64.82,3225,2264,1363,7021,45.93,32.25,19.41,78.18,50,158,96,4210,89,3672,10041,3.03,41.93,0.89,36.57,0.2357
207011149,21232,43,2472,1051,3294,490,3000,2.6,3396,3003,2233,4540,15.99,14.14,10.52,21.38,6621,5445,31.18,25.65,1223,5.76,6831,1604,178,5696,119.93,28.16,5602,2061,7657,73.16,26.92,1793,264,23.42,3.45,442,2996,2950,1213,7657,5.77,54.37,3273,2230,1926,7657,42.75,29.12,25.15,71.87,281,14,108,3486,223,4721,10685,3.77,32.63,2.09,44.18,0.1982
207011150,16829,41,2914,1165,3571,522,3000,2.7,3181,2400,1562,2776,18.9,14.26,9.28,16.5,4470,3608,26.56,21.44,533,3.17,6510,1100,153,4667,139.49,23.57,4583,1366,5952,77,22.95,1211,153,20.35,2.57,218,2077,2586,1033,5952,3.66,60.8,2521,2053,1249,5952,42.36,34.49,20.98,76.85,196,14,39,3048,131,3918,8873,2.81,34.35,1.48,44.16,0.1791
207011152,15684,36,2228,1228,3203,411,2492,2.2,2292,2068,3156,2362,14.61,13.19,20.12,15.06,4854,3834,30.95,24.45,604,3.85,4535,1043,171,4011,113.06,26,3972,2656,6631,59.9,40.05,2221,430,33.49,6.48,731,3231,1977,639,6631,11.02,39.45,1928,1859,2680,6631,29.08,28.03,40.42,57.11,378,14,104,2786,291,3957,8981,5.52,31.02,3.24,44.06,0.1845
207011154,6482,41,2485,1042,3166,466,3000,2.7,1165,892,657,1143,17.97,13.76,10.14,17.63,1821,1761,28.09,27.17,278,4.29,2318,625,42,1778,130.37,35.15,1751,559,2307,75.9,24.23,455,103,19.72,4.46,99,817,994,382,2307,4.29,59.64,937,762,545,2307,40.62,33.03,23.62,73.65,7,46,46,1302,61,1304,3368,2.94,38.66,1.81,38.72,0.1875
207011155,15944,45,2709,1088,3538,475,3150,2.7,2545,2388,1331,3404,15.96,14.98,8.35,21.35,4539,3570,28.47,22.39,724,4.54,5348,1269,86,4413,121.19,28.76,4351,1402,5754,75.62,24.37,1286,113,22.35,1.96,301,2091,2332,997,5754,5.23,57.86,2604,1877,1140,5754,45.26,32.62,19.81,77.88,232,13,50,2597,170,3528,8002,3.69,32.45,2.12,44.09,0.1753
