poa_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
POA3631,14605,38,1981,845,2178,350,1603,2.9,3264,1686,1649,2277,22.35,11.54,11.29,15.59,2557,2990,17.51,20.47,695,4.76,6209,1088,55,3985,155.81,27.3,3867,862,4724,81.86,18.25,763,98,16.15,2.07,64,939,2045,1605,4724,1.35,77.27,1732,2178,623,4724,36.66,46.1,13.19,82.77,0,14,0,5118,145,785,7304,0.19,70.07,1.99,10.75,0.1767
POA3633,620,41,1676,754,2054,295,1603,2.7,115,78,61,86,18.55,12.58,9.84,13.87,39,32,6.29,5.16,24,3.87,213,37,4,160,133.12,23.12,161,50,214,75.23,23.36,51,0,23.83,0,0,19,73,91,214,0,76.64,90,77,24,214,42.06,35.98,11.21,78.04,0,0,0,226,7,38,336,0,67.26,2.08,11.31,0.176
POA3634,1888,42,1652,782,1963,230,1300,2.7,390,219,161,320,20.66,11.6,8.53,16.95,125,55,6.62,2.91,105,5.56,679,204,3,520,130.58,39.23,510,123,640,79.69,19.22,117,6,18.28,0.94,9,101,225,294,640,1.41,81.09,228,322,58,640,35.62,50.31,9.06,85.94,0,8,0,604,39,142,953,0.84,63.38,4.09,14.9,0.1392
POA3635,552,48,1416,685,1682,220,1100,2.3,84,64,70,115,15.22,11.59,12.68,20.83,31,17,5.62,3.08,28,5.07,139,39,0,149,93.29,26.17,146,68,215,67.91,31.63,63,3,29.3,1.4,0,49,80,78,215,0,73.49,88,86,23,215,40.93,40,10.7,80.93,0,0,0,177,10,45,278,0,63.67,3.6,16.19,0.1554
POA3636,5375,48,1172,638,1514,210,1148,2.3,873,529,580,1400,16.24,9.84,10.79,26.05,361,140,6.72,2.6,448,8.33,1305,673,40,1425,91.58,47.23,1402,732,2134,65.7,34.3,683,47,32.01,2.2,108,713,737,539,2134,5.06,59.79,933,666,445,2134,43.72,31.21,20.85,74.93,0,5,0,1496,90,242,2216,0.23,67.51,4.06,10.92,0.1792
POA3637,642,38,1431,633,1666,236,1211,2.8,151,73,65,95,23.52,11.37,10.12,14.8,29,21,4.52,3.27,31,4.83,241,44,0,171,140.94,25.73,168,34,200,84,17,31,3,15.5,1.5,0,32,69,91,200,0,80,99,65,26,200,49.5,32.5,13,82,0,0,0,178,19,54,300,0,59.33,6.33,18,0.1649
POA3638,2199,46,1184,625,1734,194,1127,2.3,360,266,212,561,16.37,12.1,9.64,25.51,147,48,6.68,2.18,175,7.96,641,246,10,561,114.26,43.85,554,339,891,62.18,38.05,314,25,35.24,2.81,52,266,301,256,891,5.84,62.51,399,284,152,891,44.78,31.87,17.06,76.66,0,3,0,617,70,135,1001,0.3,61.64,6.99,13.49,0.1639
POA3639,479,57,937,472,1238,177,975,2.1,44,33,39,144,9.19,6.89,8.14,30.06,50,22,10.44,4.59,38,7.93,78,35,3,132,59.09,26.52,123,81,209,58.85,38.76,75,8,35.89,3.83,0,60,76,65,209,0,67.46,119,54,23,209,56.94,25.84,11,82.78,0,0,0,112,13,53,223,0,50.22,5.83,23.77,0.1889
POA3640,1025,38,1505,736,1618,240,1203,2.8,199,135,133,160,19.41,13.17,12.98,15.61,127,74,12.39,7.22,43,4.2,335,101,3,261,128.35,38.7,257,72,322,79.81,22.36,52,15,16.15,4.66,3,64,117,138,322,0.93,79.19,126,124,56,322,39.13,38.51,17.39,77.64,0,0,0,305,44,71,515,0,59.22,8.54,13.79,0.1595
POA3641,1266,42,1339,629,1593,210,1083,2.5,260,131,133,241,20.54,10.35,10.51,19.04,133,50,10.51,3.95,67,5.29,414,129,9,329,125.84,39.21,317,139,455,69.67,30.55,127,15,27.91,3.3,13,107,167,153,455,2.86,70.33,178,170,72,455,39.12,37.36,15.82,76.48,0,0,0,374,27,74,563,0,66.43,4.8,13.14,0.1568
POA3644,9390,47,1178,630,1532,250,1300,2.3,1549,877,1015,2605,16.5,9.34,10.81,27.74,1319,931,14.05,9.91,724,7.71,2441,982,54,2483,98.31,39.55,2443,1280,3720,65.67,34.41,1167,119,31.37,3.2,204,1322,1309,786,3720,5.48,56.32,1559,1057,914,3720,41.91,28.41,24.57,70.32,0,6,0,2660,149,312,3917,0.15,67.91,3.8,7.97,0.2122
