year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,MEREDITH,3333,Meredith,GOLDEN PLAINS,Golden Plains,44,6,27,11,0,0.6892,0.6352,0.7084,0.6653,38.0,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",33.7
2025,MERINGUR,3496,Meringur,MILDURA,Mildura,6,0,5,1,0,0.3729,0.1455,0.4695,0.3474,80.7,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",71.7
2025,MERINO,3310,Merino,GLENELG,Glenelg,21,10,8,3,0,0.5903,0.7005,0.561,0.4935,43.1,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",38.3
2025,MERNDA,3754,Mernda,WHITTLESEA,Whittlesea,1634,277,842,515,0,0.9553,0.9603,0.9461,0.967,4.8,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",4.3
2025,MERRIANG,3737,Merriang,ALPINE,Alpine,2,0,2,0,0,0.1467,0.1455,0.2661,0.1417,92.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.9
2025,MERRICKS,3916,Merricks,MORNINGTON PENINSULA,Mornington Peninsula,3,1,2,0,0,0.2182,0.3566,0.2661,0.1417,80.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",71.4
2025,MERRICKS BEACH,3926,Merricks Beach,MORNINGTON PENINSULA,Mornington Peninsula,5,0,5,0,0,0.3319,0.1455,0.4695,0.1417,85.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",75.8
2025,MERRICKS NORTH,3926,Merricks North,MORNINGTON PENINSULA,Mornington Peninsula,35,8,20,7,0,0.661,0.6777,0.677,0.6114,37.8,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",33.6
2025,MERRIGUM,3618,Merrigum,GREATER SHEPPARTON,Greater Shepparton,45,20,16,9,0,0.6919,0.7588,0.6534,0.6423,33.3,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",29.6
2025,MERRIJIG,3723,Merrijig,MANSFIELD,Mansfield,11,3,5,3,0,0.4898,0.5314,0.4695,0.4935,55.7,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",49.5
